Class,Order,Family,scientificName,Dispersal_km
Mammalia,Artiodactyla,Bovidae,Rupicapra pyrenaica,5.1097271778
Mammalia,Artiodactyla,Bovidae,Gazella gazella,5.4627219918
Mammalia,Artiodactyla,Bovidae,Rupicapra rupicapra,5.4688088821
Mammalia,Artiodactyla,Bovidae,Gazella subgutturosa,5.6868892629
Mammalia,Artiodactyla,Bovidae,Saiga tatarica,5.7098166317
Mammalia,Artiodactyla,Bovidae,Capra cylindricornis,6.7442045457
Mammalia,Artiodactyla,Bovidae,Capra aegagrus,7.5703659528
Mammalia,Artiodactyla,Bovidae,Capra pyrenaica,7.6005760364
Mammalia,Artiodactyla,Bovidae,Capra caucasica,8.2377099096
Mammalia,Artiodactyla,Bovidae,Capra ibex,8.7621267117
Mammalia,Artiodactyla,Bovidae,Ovis gmelini,10.8771265816
Mammalia,Artiodactyla,Bovidae,Bison bonasus,31.1688811502
Mammalia,Artiodactyla,Cervidae,Capreolus capreolus,4.0622371972
Mammalia,Artiodactyla,Cervidae,Capreolus pygargus,4.0622389021
Mammalia,Artiodactyla,Cervidae,Dama dama,7.8041181227
Mammalia,Artiodactyla,Cervidae,Rangifer tarandus,10.3440756553
Mammalia,Artiodactyla,Cervidae,Cervus elaphus,13.6595632595
Mammalia,Artiodactyla,Cervidae,Alces alces,22.3089881462
Mammalia,Artiodactyla,Suidae,Sus scrofa,36.2021644792
Mammalia,Carnivora,Canidae,Vulpes corsac,3.3789758099
Mammalia,Carnivora,Canidae,Vulpes vulpes,4.6551195338
Mammalia,Carnivora,Canidae,Canis aureus,7.9176584687
Mammalia,Carnivora,Canidae,Vulpes lagopus,10.9844123155
Mammalia,Carnivora,Canidae,Canis lupus,39.0657414413
Mammalia,Carnivora,Felidae,Otocolobus manul,10.7984160236
Mammalia,Carnivora,Felidae,Felis silvestris,13.4642369988
Mammalia,Carnivora,Felidae,Felis chaus,20.405868678
Mammalia,Carnivora,Felidae,Lynx pardinus,20.6829833553
Mammalia,Carnivora,Felidae,Caracal caracal,25.0230828038
Mammalia,Carnivora,Felidae,Lynx lynx,32.1339944149
Mammalia,Carnivora,Felidae,Panthera pardus,56.1303589825
Mammalia,Carnivora,Herpestidae,Herpestes ichneumon,3.5653332826
Mammalia,Carnivora,Hyaenidae,Hyaena hyaena,15.9903672198
Mammalia,Carnivora,Mustelidae,Mustela nivalis,0.8194174028
Mammalia,Carnivora,Mustelidae,Mustela erminea,1.3279966383
Mammalia,Carnivora,Mustelidae,Martes zibellina,1.9243478337
Mammalia,Carnivora,Mustelidae,Martes martes,2.1694892097
Mammalia,Carnivora,Mustelidae,Martes foina,2.5526219735
Mammalia,Carnivora,Mustelidae,Mustela sibirica,3.4419742056
Mammalia,Carnivora,Mustelidae,Vormela peregusna,3.4875705744
Mammalia,Carnivora,Mustelidae,Mustela lutreola,3.5800752653
Mammalia,Carnivora,Mustelidae,Mustela putorius,4.4435669828
Mammalia,Carnivora,Mustelidae,Mustela eversmanii,4.97757742
Mammalia,Carnivora,Mustelidae,Meles leucurus,8.2975180553
Mammalia,Carnivora,Mustelidae,Meles meles,8.2975180553
Mammalia,Carnivora,Mustelidae,Gulo gulo,8.6764485859
Mammalia,Carnivora,Mustelidae,Lutra lutra,17.5653142911
Mammalia,Carnivora,Ursidae,Ursus arctos,51.376340128
Mammalia,Carnivora,Ursidae,Ursus maritimus,66.8941895498
Mammalia,Carnivora,Viverridae,Genetta genetta,2.7015332912
Mammalia,Eulipotyphla,Erinaceidae,Hemiechinus auritus,1.0119592884
Mammalia,Eulipotyphla,Erinaceidae,Atelerix algirus,1.6461662489
Mammalia,Eulipotyphla,Erinaceidae,Erinaceus concolor,4.3158394967
Mammalia,Eulipotyphla,Erinaceidae,Erinaceus roumanicus,4.3158394967
Mammalia,Eulipotyphla,Erinaceidae,Erinaceus europaeus,4.3393822716
Mammalia,Eulipotyphla,Soricidae,Sorex tundrensis,0.1005251936
Mammalia,Eulipotyphla,Soricidae,Sorex araneus,0.1005623933
Mammalia,Eulipotyphla,Soricidae,Suncus etruscus,0.1292704636
Mammalia,Eulipotyphla,Soricidae,Sorex minutissimus,0.1323939284
Mammalia,Eulipotyphla,Soricidae,Sorex minutus,0.1831055691
Mammalia,Eulipotyphla,Soricidae,Sorex volnuchini,0.1831055691
Mammalia,Eulipotyphla,Soricidae,Sorex caecutiens,0.2238414889
Mammalia,Eulipotyphla,Soricidae,Sorex granarius,0.234127044
Mammalia,Eulipotyphla,Soricidae,Crocidura suaveolens,0.2586478989
Mammalia,Eulipotyphla,Soricidae,Crocidura suaveolens,0.2586478989
Mammalia,Eulipotyphla,Soricidae,Crocidura canariensis,0.2602285769
Mammalia,Eulipotyphla,Soricidae,Sorex alpinus,0.2685559885
Mammalia,Eulipotyphla,Soricidae,Sorex daphaenodon,0.2726573021
Mammalia,Eulipotyphla,Soricidae,Sorex antinorii,0.2745914395
Mammalia,Eulipotyphla,Soricidae,Sorex satunini,0.2745914395
Mammalia,Eulipotyphla,Soricidae,Sorex samniticus,0.2746929909
Mammalia,Eulipotyphla,Soricidae,Sorex coronatus,0.2787352741
Mammalia,Eulipotyphla,Soricidae,Crocidura caspica,0.307928088
Mammalia,Eulipotyphla,Soricidae,Sorex raddei,0.3098099326
Mammalia,Eulipotyphla,Soricidae,Crocidura arispa,0.3098099326
Mammalia,Eulipotyphla,Soricidae,Crocidura pachyura,0.3209491699
Mammalia,Eulipotyphla,Soricidae,Crocidura russula,0.3209491699
